hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
173,234,534,44,0.188,4,0.0171,41,0.1752,16,0.0684,8,0.0342,15,0.0641,0,0,0,0,1,0.0043,7,0.0299,267,554,367,31,0.1161,2,0.0075,44,0.1648,24,0.0899,18,0.0674,16,0.0599,1,0.0037,4,0.015,2,0.0075,14,0.0524,251,563,406,25,0.0996,2,0.008,35,0.1394,26,0.1036,12,0.0478,13,0.0518,0,0,1,0.004,0,0,11,0.0438
174,287,472,8,0.0279,2,0.007,24,0.0836,19,0.0662,6,0.0209,3,0.0105,0,0,0,0,0,0,2,0.007,272,487,294,15,0.0551,1,0.0037,29,0.1066,17,0.0625,6,0.0221,4,0.0147,0,0,2,0.0074,0,0,7,0.0257,339,631,371,21,0.0619,1,0.0029,39,0.115,34,0.1003,12,0.0354,4,0.0118,1,0.0029,0,0,0,0,8,0.0236
175,707,1560,54,0.0764,2,0.0028,61,0.0863,18,0.0255,20,0.0283,13,0.0184,2,0.0028,4,0.0057,0,0,8,0.0113,707,1532,710,52,0.0736,6,0.0085,62,0.0877,13,0.0184,22,0.0311,20,0.0283,3,0.0042,1,0.0014,0,0,14,0.0198,717,1536,740,55,0.0767,9,0.0126,63,0.0879,33,0.046,19,0.0265,24,0.0335,1,0.0014,3,0.0042,0,0,11,0.0153
176,597,1704,69,0.1156,5,0.0084,68,0.1139,29,0.0486,21,0.0352,38,0.0637,4,0.0067,1,0.0017,0,0,15,0.0251,587,1635,662,57,0.0971,2,0.0034,80,0.1363,24,0.0409,21,0.0358,28,0.0477,2,0.0034,5,0.0085,0,0,27,0.046,597,1749,705,62,0.1039,4,0.0067,73,0.1223,40,0.067,31,0.0519,30,0.0503,1,0.0017,3,0.005,0,0,17,0.0285
177,388,976,27,0.0696,1,0.0026,68,0.1753,19,0.049,15,0.0387,10,0.0258,0,0,2,0.0052,0,0,8,0.0206,409,960,557,45,0.11,4,0.0098,77,0.1883,14,0.0342,18,0.044,19,0.0465,1,0.0024,0,0,2,0.0049,8,0.0196,376,879,537,39,0.1037,0,0,67,0.1782,22,0.0585,15,0.0399,21,0.0559,0,0,1,0.0027,2,0.0053,3,0.008
178,197,487,27,0.1371,0,0,37,0.1878,13,0.066,5,0.0254,18,0.0914,0,0,0,0,0,0,0,0,203,521,270,25,0.1232,3,0.0148,32,0.1576,18,0.0887,8,0.0394,13,0.064,1,0.0049,0,0,0,0,0,0,207,521,303,28,0.1353,3,0.0145,30,0.1449,11,0.0531,14,0.0676,12,0.058,0,0,0,0,0,0,0,0
179,770,1924,72,0.0935,3,0.0039,51,0.0662,27,0.0351,25,0.0325,29,0.0377,3,0.0039,9,0.0117,2,0.0026,9,0.0117,699,1780,1293,75,0.1073,4,0.0057,49,0.0701,21,0.03,28,0.0401,36,0.0515,1,0.0014,6,0.0086,2,0.0029,10,0.0143,695,1814,1309,54,0.0777,2,0.0029,54,0.0777,23,0.0331,25,0.036,21,0.0302,1,0.0014,4,0.0058,0,0,13,0.0187
180,99,165,47,0.4747,6,0.0606,11,0.1111,17,0.1717,47,0.4747,36,0.3636,5,0.0505,7,0.0707,3,0.0303,3,0.0303,137,253,355,53,0.3869,9,0.0657,17,0.1241,19,0.1387,54,0.3942,37,0.2701,8,0.0584,8,0.0584,4,0.0292,4,0.0292,116,206,361,61,0.5259,9,0.0776,16,0.1379,21,0.181,64,0.5517,47,0.4052,7,0.0603,10,0.0862,7,0.0603,10,0.0862
181,402,869,38,0.0945,2,0.005,48,0.1194,10,0.0249,9,0.0224,26,0.0647,0,0,0,0,0,0,0,0,369,843,471,34,0.0921,5,0.0136,52,0.1409,14,0.0379,8,0.0217,16,0.0434,0,0,0,0,0,0,0,0,410,871,510,44,0.1073,0,0,63,0.1537,19,0.0463,9,0.022,29,0.0707,0,0,0,0,0,0,0,0
182,791,2437,86,0.1087,6,0.0076,73,0.0923,25,0.0316,21,0.0265,28,0.0354,1,0.0013,3,0.0038,1,0.0013,8,0.0101,757,2250,1052,94,0.1242,6,0.0079,67,0.0885,25,0.033,13,0.0172,33,0.0436,2,0.0026,0,0,0,0,14,0.0185,759,2225,996,70,0.0922,3,0.004,58,0.0764,31,0.0408,22,0.029,27,0.0356,1,0.0013,2,0.0026,0,0,10,0.0132
183,326,602,37,0.1135,3,0.0092,43,0.1319,8,0.0245,10,0.0307,17,0.0521,1,0.0031,1,0.0031,1,0.0031,4,0.0123,331,651,346,32,0.0967,8,0.0242,42,0.1269,17,0.0514,13,0.0393,12,0.0363,1,0.003,1,0.003,2,0.006,3,0.0091,322,640,391,31,0.0963,7,0.0217,42,0.1304,21,0.0652,11,0.0342,13,0.0404,3,0.0093,1,0.0031,2,0.0062,6,0.0186
184,357,906,47,0.1317,11,0.0308,63,0.1765,11,0.0308,19,0.0532,25,0.07,5,0.014,1,0.0028,1,0.0028,15,0.042,304,723,399,31,0.102,7,0.023,44,0.1447,12,0.0395,9,0.0296,16,0.0526,3,0.0099,0,0,0,0,8,0.0263,338,792,450,42,0.1243,6,0.0178,41,0.1213,11,0.0325,13,0.0385,20,0.0592,4,0.0118,0,0,0,0,2,0.0059
185,330,870,36,0.1091,1,0.003,81,0.2455,28,0.0848,13,0.0394,25,0.0758,1,0.003,0,0,0,0,15,0.0455,328,851,328,28,0.0854,2,0.0061,70,0.2134,18,0.0549,7,0.0213,18,0.0549,2,0.0061,0,0,0,0,13,0.0396,310,755,367,27,0.0871,3,0.0097,64,0.2065,21,0.0677,13,0.0419,19,0.0613,1,0.0032,0,0,0,0,7,0.0226
186,738,2098,104,0.1409,16,0.0217,61,0.0827,50,0.0678,30,0.0407,43,0.0583,4,0.0054,5,0.0068,4,0.0054,13,0.0176,825,2331,2085,91,0.1103,21,0.0255,70,0.0848,45,0.0545,21,0.0255,35,0.0424,11,0.0133,5,0.0061,2,0.0024,9,0.0109,730,1857,1702,80,0.1096,25,0.0342,81,0.111,44,0.0603,34,0.0466,33,0.0452,14,0.0192,5,0.0068,3,0.0041,16,0.0219
187,492,1505,41,0.0833,13,0.0264,79,0.1606,19,0.0386,15,0.0305,22,0.0447,4,0.0081,1,0.002,3,0.0061,15,0.0305,432,1290,667,38,0.088,17,0.0394,64,0.1481,18,0.0417,16,0.037,23,0.0532,8,0.0185,2,0.0046,0,0,17,0.0394,394,1162,668,32,0.0812,10,0.0254,72,0.1827,13,0.033,21,0.0533,22,0.0558,5,0.0127,2,0.0051,0,0,14,0.0355
188,567,1054,38,0.067,3,0.0053,66,0.1164,24,0.0423,21,0.037,16,0.0282,1,0.0018,2,0.0035,1,0.0018,22,0.0388,587,1166,1163,39,0.0664,6,0.0102,72,0.1227,20,0.0341,24,0.0409,20,0.0341,1,0.0017,3,0.0051,1,0.0017,25,0.0426,624,1293,1210,49,0.0785,7,0.0112,64,0.1026,28,0.0449,32,0.0513,23,0.0369,1,0.0016,6,0.0096,1,0.0016,14,0.0224
189,327,826,41,0.1254,2,0.0061,30,0.0917,10,0.0306,13,0.0398,22,0.0673,0,0,3,0.0092,0,0,9,0.0275,380,918,311,40,0.1053,5,0.0132,42,0.1105,21,0.0553,14,0.0368,19,0.05,0,0,4,0.0105,1,0.0026,14,0.0368,409,1085,392,43,0.1051,9,0.022,38,0.0929,30,0.0733,21,0.0513,26,0.0636,0,0,1,0.0024,0,0,7,0.0171
190,819,2002,88,0.1074,10,0.0122,76,0.0928,13,0.0159,36,0.044,49,0.0598,0,0,3,0.0037,0,0,5,0.0061,840,2157,1222,92,0.1095,13,0.0155,58,0.069,19,0.0226,31,0.0369,50,0.0595,0,0,3,0.0036,2,0.0024,7,0.0083,820,2022,1131,75,0.0915,6,0.0073,75,0.0915,15,0.0183,44,0.0537,32,0.039,0,0,3,0.0037,0,0,10,0.0122
191,414,827,73,0.1763,4,0.0097,45,0.1087,19,0.0459,21,0.0507,54,0.1304,1,0.0024,2,0.0048,0,0,12,0.029,404,823,508,36,0.0891,6,0.0149,44,0.1089,12,0.0297,14,0.0347,22,0.0545,3,0.0074,1,0.0025,0,0,9,0.0223,372,763,483,39,0.1048,3,0.0081,41,0.1102,21,0.0565,15,0.0403,23,0.0618,1,0.0027,1,0.0027,0,0,14,0.0376
192,694,1899,103,0.1484,4,0.0058,66,0.0951,44,0.0634,31,0.0447,33,0.0476,1,0.0014,1,0.0014,2,0.0029,12,0.0173,746,2063,939,86,0.1153,3,0.004,64,0.0858,37,0.0496,38,0.0509,28,0.0375,1,0.0013,4,0.0054,5,0.0067,15,0.0201,754,2059,1068,103,0.1366,2,0.0027,87,0.1154,45,0.0597,46,0.061,40,0.0531,0,0,3,0.004,3,0.004,24,0.0318
193,257,442,51,0.1984,7,0.0272,68,0.2646,18,0.07,21,0.0817,33,0.1284,2,0.0078,7,0.0272,0,0,22,0.0856,251,424,526,56,0.2231,8,0.0319,66,0.2629,18,0.0717,20,0.0797,40,0.1594,3,0.012,4,0.0159,1,0.004,19,0.0757,261,401,437,42,0.1609,7,0.0268,48,0.1839,21,0.0805,25,0.0958,24,0.092,4,0.0153,1,0.0038,1,0.0038,19,0.0728
194,326,590,27,0.0828,12,0.0368,27,0.0828,11,0.0337,10,0.0307,14,0.0429,0,0,0,0,0,0,5,0.0153,373,623,761,44,0.118,14,0.0375,35,0.0938,11,0.0295,10,0.0268,28,0.0751,0,0,0,0,0,0,6,0.0161,406,810,1012,54,0.133,14,0.0345,46,0.1133,15,0.0369,22,0.0542,35,0.0862,0,0,2,0.0049,1,0.0025,9,0.0222
195,474,1030,44,0.0928,2,0.0042,75,0.1582,20,0.0422,11,0.0232,17,0.0359,2,0.0042,0,0,1,0.0021,12,0.0253,506,1196,887,44,0.087,3,0.0059,71,0.1403,14,0.0277,14,0.0277,15,0.0296,0,0,1,0.002,0,0,10,0.0198,488,1204,859,41,0.084,3,0.0061,69,0.1414,22,0.0451,21,0.043,10,0.0205,2,0.0041,0,0,0,0,15,0.0307
196,872,2435,64,0.0734,9,0.0103,77,0.0883,34,0.039,39,0.0447,23,0.0264,3,0.0034,3,0.0034,0,0,20,0.0229,869,2458,806,64,0.0736,20,0.023,73,0.084,20,0.023,34,0.0391,28,0.0322,11,0.0127,1,0.0012,0,0,11,0.0127,880,2527,873,50,0.0568,9,0.0102,85,0.0966,47,0.0534,49,0.0557,14,0.0159,4,0.0045,2,0.0023,1,0.0011,13,0.0148
197,417,955,59,0.1415,4,0.0096,52,0.1247,26,0.0624,21,0.0504,40,0.0959,3,0.0072,0,0,0,0,9,0.0216,459,1117,693,74,0.1612,5,0.0109,59,0.1285,16,0.0349,17,0.037,51,0.1111,3,0.0065,1,0.0022,1,0.0022,5,0.0109,407,982,767,85,0.2088,2,0.0049,64,0.1572,28,0.0688,23,0.0565,56,0.1376,0,0,2,0.0049,0,0,10,0.0246
198,340,683,80,0.2353,14,0.0412,64,0.1882,27,0.0794,43,0.1265,40,0.1176,6,0.0176,8,0.0235,1,0.0029,13,0.0382,392,804,770,84,0.2143,8,0.0204,66,0.1684,48,0.1224,39,0.0995,54,0.1378,6,0.0153,7,0.0179,4,0.0102,13,0.0332,396,861,795,74,0.1869,7,0.0177,75,0.1894,59,0.149,46,0.1162,43,0.1086,2,0.0051,7,0.0177,4,0.0101,12,0.0303
199,1046,2534,125,0.1195,2,0.0019,114,0.109,49,0.0468,66,0.0631,56,0.0535,0,0,8,0.0076,0,0,29,0.0277,1025,2503,1337,130,0.1268,5,0.0049,107,0.1044,47,0.0459,75,0.0732,58,0.0566,0,0,9,0.0088,0,0,29,0.0283,995,2296,1396,131,0.1317,4,0.004,105,0.1055,56,0.0563,83,0.0834,54,0.0543,2,0.002,13,0.0131,3,0.003,25,0.0251
200,467,1216,52,0.1113,0,0,58,0.1242,29,0.0621,28,0.06,29,0.0621,0,0,1,0.0021,1,0.0021,6,0.0128,445,1119,614,39,0.0876,0,0,82,0.1843,26,0.0584,22,0.0494,23,0.0517,0,0,3,0.0067,1,0.0022,19,0.0427,438,1023,434,30,0.0685,0,0,56,0.1279,14,0.032,29,0.0662,19,0.0434,0,0,1,0.0023,1,0.0023,7,0.016
201,241,400,36,0.1494,8,0.0332,56,0.2324,24,0.0996,13,0.0539,15,0.0622,4,0.0166,0,0,0,0,17,0.0705,223,387,639,39,0.1749,4,0.0179,46,0.2063,20,0.0897,9,0.0404,17,0.0762,2,0.009,0,0,0,0,5,0.0224,232,364,670,37,0.1595,5,0.0216,52,0.2241,45,0.194,12,0.0517,14,0.0603,3,0.0129,0,0,0,0,11,0.0474
202,539,980,77,0.1429,17,0.0315,111,0.2059,13,0.0241,42,0.0779,22,0.0408,0,0,0,0,0,0,0,0,617,1106,1721,81,0.1313,16,0.0259,209,0.3387,16,0.0259,41,0.0665,31,0.0502,0,0,0,0,0,0,0,0,598,1132,1805,98,0.1639,18,0.0301,154,0.2575,20,0.0334,39,0.0652,29,0.0485,0,0,0,0,0,0,0,0
203,471,898,61,0.1295,2,0.0042,97,0.2059,23,0.0488,26,0.0552,26,0.0552,0,0,4,0.0085,2,0.0042,12,0.0255,496,901,612,44,0.0887,3,0.006,85,0.1714,15,0.0302,15,0.0302,14,0.0282,0,0,0,0,3,0.006,7,0.0141,444,801,550,49,0.1104,1,0.0023,72,0.1622,24,0.0541,10,0.0225,26,0.0586,0,0,0,0,0,0,5,0.0113
204,217,412,39,0.1797,3,0.0138,27,0.1244,6,0.0276,17,0.0783,29,0.1336,1,0.0046,0,0,0,0,6,0.0276,198,334,177,29,0.1465,4,0.0202,25,0.1263,6,0.0303,9,0.0455,22,0.1111,3,0.0152,0,0,0,0,5,0.0253,214,407,219,27,0.1262,2,0.0093,19,0.0888,15,0.0701,13,0.0607,20,0.0935,1,0.0047,3,0.014,0,0,4,0.0187
205,214,478,35,0.1636,6,0.028,44,0.2056,24,0.1121,28,0.1308,20,0.0935,3,0.014,0,0,0,0,11,0.0514,251,614,337,39,0.1554,3,0.012,52,0.2072,22,0.0876,39,0.1554,17,0.0677,3,0.012,2,0.008,0,0,13,0.0518,194,501,277,28,0.1443,5,0.0258,37,0.1907,19,0.0979,22,0.1134,15,0.0773,2,0.0103,0,0,0,0,10,0.0515
206,261,463,47,0.1801,2,0.0077,53,0.2031,33,0.1264,20,0.0766,14,0.0536,1,0.0038,0,0,0,0,14,0.0536,251,457,394,42,0.1673,4,0.0159,54,0.2151,19,0.0757,10,0.0398,17,0.0677,1,0.004,2,0.008,0,0,17,0.0677,242,430,368,50,0.2066,2,0.0083,46,0.1901,29,0.1198,18,0.0744,25,0.1033,2,0.0083,1,0.0041,0,0,11,0.0455
207,286,671,36,0.1259,2,0.007,34,0.1189,11,0.0385,11,0.0385,13,0.0455,0,0,1,0.0035,0,0,10,0.035,345,734,245,42,0.1217,2,0.0058,41,0.1188,11,0.0319,15,0.0435,14,0.0406,0,0,4,0.0116,0,0,13,0.0377,333,795,290,40,0.1201,3,0.009,43,0.1291,20,0.0601,14,0.042,17,0.0511,0,0,2,0.006,0,0,10,0.03
208,940,4929,139,0.1479,13,0.0138,123,0.1309,62,0.066,46,0.0489,62,0.066,6,0.0064,4,0.0043,5,0.0053,22,0.0234,835,2416,1223,100,0.1198,14,0.0168,109,0.1305,46,0.0551,41,0.0491,40,0.0479,5,0.006,2,0.0024,0,0,23,0.0275,824,2353,1439,113,0.1371,10,0.0121,101,0.1226,49,0.0595,53,0.0643,41,0.0498,7,0.0085,1,0.0012,2,0.0024,19,0.0231
209,1171,2481,104,0.0888,13,0.0111,58,0.0495,22,0.0188,26,0.0222,71,0.0606,8,0.0068,2,0.0017,3,0.0026,11,0.0094,1227,2452,638,120,0.0978,6,0.0049,57,0.0465,20,0.0163,31,0.0253,71,0.0579,4,0.0033,3,0.0024,2,0.0016,10,0.0081,1224,2836,821,113,0.0923,12,0.0098,68,0.0556,40,0.0327,36,0.0294,63,0.0515,5,0.0041,5,0.0041,1,0.0008,7,0.0057
210,957,2158,219,0.2288,23,0.024,158,0.1651,94,0.0982,54,0.0564,92,0.0961,11,0.0115,8,0.0084,4,0.0042,20,0.0209,862,1962,1844,167,0.1937,14,0.0162,152,0.1763,90,0.1044,44,0.051,82,0.0951,6,0.007,4,0.0046,3,0.0035,22,0.0255,845,1825,1820,176,0.2083,21,0.0249,133,0.1574,89,0.1053,46,0.0544,76,0.0899,7,0.0083,5,0.0059,2,0.0024,14,0.0166
211,440,871,57,0.1295,12,0.0273,45,0.1023,23,0.0523,39,0.0886,38,0.0864,6,0.0136,5,0.0114,3,0.0068,25,0.0568,350,709,694,56,0.16,12,0.0343,35,0.1,27,0.0771,42,0.12,38,0.1086,7,0.02,3,0.0086,4,0.0114,19,0.0543,353,774,770,50,0.1416,7,0.0198,35,0.0992,21,0.0595,40,0.1133,35,0.0992,5,0.0142,3,0.0085,2,0.0057,19,0.0538
212,1122,2356,183,0.1631,11,0.0098,86,0.0766,33,0.0294,52,0.0463,77,0.0686,4,0.0036,5,0.0045,0,0,11,0.0098,1061,2085,1560,181,0.1706,12,0.0113,75,0.0707,25,0.0236,35,0.033,77,0.0726,7,0.0066,3,0.0028,2,0.0019,26,0.0245,1080,2380,1806,194,0.1796,8,0.0074,65,0.0602,35,0.0324,64,0.0593,75,0.0694,3,0.0028,4,0.0037,0,0,14,0.013
213,984,2875,105,0.1067,9,0.0091,82,0.0833,51,0.0518,48,0.0488,53,0.0539,0,0,0,0,2,0.002,22,0.0224,1024,3016,1673,113,0.1104,7,0.0068,80,0.0781,47,0.0459,43,0.042,61,0.0596,0,0,1,0.001,2,0.002,15,0.0146,1004,2976,1917,91,0.0906,7,0.007,95,0.0946,75,0.0747,64,0.0637,34,0.0339,0,0,5,0.005,4,0.004,17,0.0169
214,829,1771,108,0.1303,11,0.0133,45,0.0543,0,0,33,0.0398,44,0.0531,5,0.006,2,0.0024,0,0,0,0,813,1726,2119,80,0.0984,5,0.0062,49,0.0603,0,0,47,0.0578,36,0.0443,3,0.0037,0,0,0,0,0,0,810,1650,2035,81,0.1,8,0.0099,51,0.063,0,0,48,0.0593,32,0.0395,5,0.0062,1,0.0012,0,0,0,0
215,881,2322,157,0.1782,7,0.0079,70,0.0795,42,0.0477,44,0.0499,75,0.0851,2,0.0023,5,0.0057,3,0.0034,7,0.0079,858,2337,817,128,0.1492,5,0.0058,106,0.1235,56,0.0653,46,0.0536,55,0.0641,0,0,2,0.0023,2,0.0023,7,0.0082,813,2112,736,132,0.1624,3,0.0037,68,0.0836,62,0.0763,61,0.075,51,0.0627,2,0.0025,1,0.0012,3,0.0037,4,0.0049
216,890,3248,79,0.0888,8,0.009,74,0.0831,46,0.0517,40,0.0449,32,0.036,0,0,4,0.0045,15,0.0169,12,0.0135,910,3566,1776,87,0.0956,15,0.0165,79,0.0868,49,0.0538,42,0.0462,46,0.0505,3,0.0033,12,0.0132,7,0.0077,15,0.0165,993,3597,1625,84,0.0846,12,0.0121,97,0.0977,64,0.0645,48,0.0483,35,0.0352,7,0.007,9,0.0091,13,0.0131,22,0.0222
217,501,1117,52,0.1038,3,0.006,50,0.0998,26,0.0519,20,0.0399,28,0.0559,2,0.004,3,0.006,0,0,11,0.022,444,984,421,43,0.0968,5,0.0113,52,0.1171,19,0.0428,18,0.0405,16,0.036,1,0.0023,3,0.0068,2,0.0045,18,0.0405,504,1072,542,55,0.1091,3,0.006,68,0.1349,43,0.0853,26,0.0516,28,0.0556,2,0.004,3,0.006,2,0.004,13,0.0258
218,300,825,55,0.1833,5,0.0167,30,0.1,14,0.0467,27,0.09,27,0.09,1,0.0033,2,0.0067,4,0.0133,6,0.02,313,841,412,60,0.1917,6,0.0192,53,0.1693,16,0.0511,19,0.0607,24,0.0767,0,0,2,0.0064,6,0.0192,10,0.0319,301,734,372,58,0.1927,2,0.0066,50,0.1661,16,0.0532,21,0.0698,29,0.0963,0,0,2,0.0066,0,0,11,0.0365
219,580,1404,70,0.1207,4,0.0069,54,0.0931,18,0.031,25,0.0431,35,0.0603,1,0.0017,3,0.0052,3,0.0052,13,0.0224,555,1441,605,79,0.1423,4,0.0072,48,0.0865,21,0.0378,21,0.0378,38,0.0685,0,0,2,0.0036,3,0.0054,13,0.0234,554,1464,546,78,0.1408,5,0.009,52,0.0939,21,0.0379,17,0.0307,41,0.074,4,0.0072,3,0.0054,1,0.0018,13,0.0235
220,920,2777,89,0.0967,7,0.0076,107,0.1163,44,0.0478,38,0.0413,38,0.0413,0,0,0,0,0,0,21,0.0228,813,2369,818,81,0.0996,8,0.0098,72,0.0886,30,0.0369,28,0.0344,42,0.0517,1,0.0012,0,0,1,0.0012,18,0.0221,755,2166,826,72,0.0954,3,0.004,80,0.106,58,0.0768,45,0.0596,40,0.053,1,0.0013,2,0.0026,0,0,22,0.0291
221,890,2689,84,0.0944,4,0.0045,78,0.0876,45,0.0506,55,0.0618,46,0.0517,2,0.0022,5,0.0056,0,0,22,0.0247,898,2552,938,77,0.0857,2,0.0022,87,0.0969,42,0.0468,54,0.0601,36,0.0401,2,0.0022,8,0.0089,3,0.0033,21,0.0234,901,2725,986,66,0.0733,0,0,101,0.1121,53,0.0588,63,0.0699,40,0.0444,0,0,4,0.0044,2,0.0022,30,0.0333
222,633,1438,53,0.0837,6,0.0095,71,0.1122,32,0.0506,28,0.0442,19,0.03,1,0.0016,0,0,0,0,14,0.0221,630,1469,754,39,0.0619,3,0.0048,62,0.0984,16,0.0254,22,0.0349,12,0.019,1,0.0016,0,0,1,0.0016,8,0.0127,636,1498,823,58,0.0912,5,0.0079,71,0.1116,32,0.0503,31,0.0487,22,0.0346,0,0,0,0,2,0.0031,13,0.0204
223,219,649,66,0.3014,2,0.0091,36,0.1644,18,0.0822,45,0.2055,55,0.2511,1,0.0046,9,0.0411,10,0.0457,17,0.0776,244,686,724,76,0.3115,2,0.0082,38,0.1557,37,0.1516,50,0.2049,65,0.2664,1,0.0041,8,0.0328,18,0.0738,20,0.082,224,727,874,91,0.4063,0,0,43,0.192,34,0.1518,55,0.2455,78,0.3482,0,0,9,0.0402,13,0.058,25,0.1116
224,1829,6670,295,0.1613,43,0.0235,185,0.1011,75,0.041,59,0.0323,86,0.047,13,0.0071,2,0.0011,7,0.0038,41,0.0224,1423,4914,1629,290,0.2038,38,0.0267,158,0.111,84,0.059,74,0.052,88,0.0618,15,0.0105,6,0.0042,8,0.0056,38,0.0267,1293,4293,1425,223,0.1725,16,0.0124,152,0.1176,84,0.065,56,0.0433,73,0.0565,6,0.0046,9,0.007,6,0.0046,40,0.0309
225,504,921,100,0.1984,17,0.0337,71,0.1409,28,0.0556,18,0.0357,40,0.0794,6,0.0119,0,0,1,0.002,0,0,514,900,1503,96,0.1868,10,0.0195,66,0.1284,34,0.0661,19,0.037,29,0.0564,6,0.0117,0,0,0,0,0,0,565,957,1536,88,0.1558,9,0.0159,65,0.115,41,0.0726,23,0.0407,35,0.0619,4,0.0071,0,0,0,0,1,0.0018
226,1781,5406,353,0.1982,68,0.0382,288,0.1617,86,0.0483,72,0.0404,105,0.059,24,0.0135,1,0.0006,4,0.0022,47,0.0264,1689,5096,5803,342,0.2025,86,0.0509,276,0.1634,91,0.0539,63,0.0373,104,0.0616,32,0.0189,3,0.0018,8,0.0047,40,0.0237,1720,4963,5834,355,0.2064,66,0.0384,232,0.1349,101,0.0587,72,0.0419,118,0.0686,33,0.0192,7,0.0041,3,0.0017,40,0.0233
227,835,2312,139,0.1665,10,0.012,59,0.0707,34,0.0407,27,0.0323,48,0.0575,5,0.006,2,0.0024,1,0.0012,11,0.0132,866,2289,1200,125,0.1443,3,0.0035,69,0.0797,42,0.0485,24,0.0277,41,0.0473,1,0.0012,2,0.0023,3,0.0035,7,0.0081,847,2389,1387,106,0.1251,5,0.0059,80,0.0945,48,0.0567,49,0.0579,45,0.0531,2,0.0024,2,0.0024,3,0.0035,15,0.0177
228,1295,3608,121,0.0934,14,0.0108,94,0.0726,54,0.0417,45,0.0347,45,0.0347,0,0,0,0,0,0,0,0,1353,3480,1113,133,0.0983,20,0.0148,104,0.0769,48,0.0355,52,0.0384,63,0.0466,0,0,0,0,0,0,0,0,1407,3990,1496,134,0.0952,12,0.0085,113,0.0803,73,0.0519,79,0.0561,78,0.0554,0,0,0,0,0,0,0,0
229,685,1935,76,0.1109,30,0.0438,57,0.0832,24,0.035,33,0.0482,46,0.0672,0,0,3,0.0044,0,0,10,0.0146,664,1830,959,75,0.113,39,0.0587,50,0.0753,28,0.0422,30,0.0452,31,0.0467,1,0.0015,1,0.0015,1,0.0015,11,0.0166,663,1860,949,72,0.1086,30,0.0452,67,0.1011,36,0.0543,34,0.0513,35,0.0528,0,0,2,0.003,4,0.006,12,0.0181
230,773,2021,81,0.1048,11,0.0142,83,0.1074,37,0.0479,19,0.0246,46,0.0595,0,0,4,0.0052,7,0.0091,26,0.0336,811,2214,679,66,0.0814,7,0.0086,73,0.09,33,0.0407,25,0.0308,35,0.0432,0,0,1,0.0012,4,0.0049,16,0.0197,833,2301,694,69,0.0828,4,0.0048,90,0.108,37,0.0444,24,0.0288,39,0.0468,0,0,1,0.0012,3,0.0036,25,0.03
231,1783,4487,172,0.0965,51,0.0286,224,0.1256,75,0.0421,48,0.0269,74,0.0415,19,0.0107,2,0.0011,3,0.0017,77,0.0432,1879,4618,2790,161,0.0857,57,0.0303,242,0.1288,82,0.0436,55,0.0293,71,0.0378,23,0.0122,6,0.0032,13,0.0069,74,0.0394,1884,4658,2603,158,0.0839,37,0.0196,247,0.1311,68,0.0361,65,0.0345,66,0.035,16,0.0085,7,0.0037,5,0.0027,93,0.0494
