hospital,Q1_total number of tested patients,Q1_total number of specimes,Q1_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients_E. coli,Q1_isolation rate_E. coli,Q1_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients_MRSA,Q1_isolation rate_MRSA,Q1_number of patients_PRSP,Q1_isolation rate_PRSP,Q1_number of patients_CRP,Q1_isolation rate_CRP,Q1_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q2_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q2_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q2_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q2_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q2_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q2_isolation rate_MRSA,Q2_number of patients_PRSP,Q2_isolation rate_PRSP,Q2_number of patients_CRP,Q2_isolation rate_CRP,Q2_number of patients_3GCRKP,Q2_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q2_isolation rate_3GCREC,Q3_total number of tested patients,total number of specimes,total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
175,652,1762,73,0.112,2,0.0031,57,0.0874,12,0.0184,22,0.0337,27,0.0414,1,0.0015,3,0.0046,2,0.0031,16,0.0245,566,1587,1003,61,0.1078,4,0.0071,52,0.0919,15,0.0265,8,0.0141,19,0.0336,4,0.0071,0,0,2,0.0035,11,0.0194,643,1831,1104,49,0.0762,3,0.0047,59,0.0918,24,0.0373,20,0.0311,18,0.028,0,0,2,0.0031,0,0,13,0.0202
176,102,199,50,0.4902,4,0.0392,18,0.1765,20,0.1961,43,0.4216,42,0.4118,4,0.0392,10,0.098,4,0.0392,8,0.0784,97,188,309,45,0.4639,5,0.0515,20,0.2062,20,0.2062,45,0.4639,38,0.3918,5,0.0515,10,0.1031,6,0.0619,10,0.1031,132,214,372,59,0.447,13,0.0985,21,0.1591,30,0.2273,61,0.4621,42,0.3182,11,0.0833,11,0.0833,8,0.0606,14,0.1061
177,343,791,37,0.1079,1,0.0029,53,0.1545,19,0.0554,16,0.0466,22,0.0641,0,0,0,0,0,0,0,0,313,733,400,41,0.131,1,0.0032,42,0.1342,15,0.0479,12,0.0383,21,0.0671,0,0,0,0,0,0,0,0,289,712,429,26,0.09,0,0,44,0.1522,15,0.0519,15,0.0519,12,0.0415,0,0,0,0,0,0,0,0
178,694,2087,80,0.1153,2,0.0029,72,0.1037,28,0.0403,14,0.0202,21,0.0303,0,0,1,0.0014,0,0,8,0.0115,615,1804,988,71,0.1154,2,0.0033,70,0.1138,25,0.0407,17,0.0276,19,0.0309,0,0,0,0,2,0.0033,14,0.0228,671,1919,967,70,0.1043,3,0.0045,53,0.079,15,0.0224,22,0.0328,17,0.0253,1,0.0015,1,0.0015,0,0,4,0.006
179,261,508,21,0.0805,9,0.0345,31,0.1188,10,0.0383,8,0.0307,7,0.0268,5,0.0192,0,0,0,0,3,0.0115,255,593,347,30,0.1176,1,0.0039,46,0.1804,15,0.0588,9,0.0353,11,0.0431,1,0.0039,0,0,1,0.0039,6,0.0235,285,698,353,29,0.1018,0,0,38,0.1333,19,0.0667,17,0.0596,20,0.0702,0,0,1,0.0035,1,0.0035,1,0.0035
180,303,688,38,0.1254,1,0.0033,41,0.1353,17,0.0561,10,0.033,18,0.0594,0,0,2,0.0066,0,0,9,0.0297,276,572,306,26,0.0942,1,0.0036,30,0.1087,8,0.029,13,0.0471,15,0.0543,0,0,0,0,1,0.0036,9,0.0326,296,582,330,18,0.0608,3,0.0101,48,0.1622,15,0.0507,7,0.0236,9,0.0304,2,0.0068,0,0,1,0.0034,10,0.0338
181,297,803,32,0.1077,3,0.0101,78,0.2626,17,0.0572,12,0.0404,20,0.0673,2,0.0067,0,0,0,0,14,0.0471,228,570,318,21,0.0921,0,0,61,0.2675,28,0.1228,5,0.0219,15,0.0658,0,0,0,0,0,0,6,0.0263,284,692,321,20,0.0704,0,0,68,0.2394,28,0.0986,9,0.0317,10,0.0352,0,0,0,0,0,0,10,0.0352
182,714,2156,109,0.1527,11,0.0154,75,0.105,39,0.0546,32,0.0448,45,0.063,7,0.0098,5,0.007,2,0.0028,14,0.0196,560,1702,1383,74,0.1321,1,0.0018,62,0.1107,22,0.0393,28,0.05,37,0.0661,0,0,4,0.0071,0,0,16,0.0286,652,1831,1611,108,0.1656,3,0.0046,72,0.1104,34,0.0521,44,0.0675,42,0.0644,0,0,7,0.0107,1,0.0015,17,0.0261
183,377,1112,33,0.0875,15,0.0398,64,0.1698,21,0.0557,17,0.0451,20,0.0531,8,0.0212,5,0.0133,1,0.0027,16,0.0424,346,1055,588,39,0.1127,5,0.0145,61,0.1763,21,0.0607,12,0.0347,25,0.0723,1,0.0029,1,0.0029,0,0,12,0.0347,385,1209,668,30,0.0779,4,0.0104,69,0.1792,32,0.0831,17,0.0442,20,0.0519,1,0.0026,0,0,3,0.0078,16,0.0416
184,177,308,41,0.2316,1,0.0056,10,0.0565,13,0.0734,9,0.0508,35,0.1977,0,0,0,0,0,0,0,0,154,314,135,28,0.1818,2,0.013,16,0.1039,2,0.013,15,0.0974,26,0.1688,0,0,0,0,0,0,0,0,500,1027,972,37,0.074,0,0,50,0.1,25,0.05,21,0.042,16,0.032,0,0,3,0.006,0,0,9,0.018
185,21,30,6,0.2857,0,0,7,0.3333,2,0.0952,0,0,2,0.0952,0,0,0,0,0,0,4,0.1905,26,32,40,4,0.1538,0,0,6,0.2308,1,0.0385,3,0.1154,3,0.1154,0,0,1,0.0385,0,0,3,0.1154,111,207,151,20,0.1802,0,0,13,0.1171,12,0.1081,25,0.2252,17,0.1532,0,0,0,0,0,0,0,0
186,311,793,42,0.135,5,0.0161,33,0.1061,22,0.0707,19,0.0611,20,0.0643,0,0,3,0.0096,0,0,5,0.0161,299,735,243,24,0.0803,1,0.0033,41,0.1371,17,0.0569,9,0.0301,12,0.0401,0,0,3,0.01,0,0,7,0.0234,24,35,45,5,0.2083,0,0,3,0.125,1,0.0417,5,0.2083,1,0.0417,0,0,0,0,0,0,1,0.0417
187,783,2021,91,0.1162,5,0.0064,55,0.0702,17,0.0217,30,0.0383,61,0.0779,0,0,3,0.0038,0,0,8,0.0102,583,1551,959,59,0.1012,2,0.0034,67,0.1149,19,0.0326,20,0.0343,23,0.0395,0,0,2,0.0034,2,0.0034,10,0.0172,318,825,341,29,0.0912,2,0.0063,47,0.1478,20,0.0629,21,0.066,14,0.044,0,0,5,0.0157,0,0,10,0.0314
188,372,689,38,0.1022,3,0.0081,31,0.0833,13,0.0349,11,0.0296,18,0.0484,3,0.0081,2,0.0054,0,0,5,0.0134,297,626,382,42,0.1414,1,0.0034,37,0.1246,9,0.0303,16,0.0539,26,0.0875,1,0.0034,1,0.0034,0,0,7,0.0236,688,1810,1014,61,0.0887,2,0.0029,76,0.1105,17,0.0247,43,0.0625,24,0.0349,0,0,6,0.0087,0,0,17,0.0247
189,674,1845,100,0.1484,3,0.0045,67,0.0994,43,0.0638,25,0.0371,22,0.0326,2,0.003,1,0.0015,7,0.0104,12,0.0178,677,1730,874,85,0.1256,2,0.003,77,0.1137,36,0.0532,25,0.0369,19,0.0281,0,0,3,0.0044,20,0.0295,13,0.0192,312,665,358,32,0.1026,3,0.0096,31,0.0994,13,0.0417,11,0.0353,10,0.0321,1,0.0032,3,0.0096,0,0,4,0.0128
190,249,515,68,0.2731,4,0.0161,45,0.1807,20,0.0803,22,0.0884,50,0.2008,1,0.004,4,0.0161,0,0,12,0.0482,258,463,618,67,0.2597,2,0.0078,82,0.3178,20,0.0775,25,0.0969,47,0.1822,0,0,6,0.0233,0,0,21,0.0814,713,2022,1190,81,0.1136,2,0.0028,82,0.115,95,0.1332,47,0.0659,22,0.0309,1,0.0014,5,0.007,59,0.0827,20,0.0281
191,324,735,36,0.1111,16,0.0494,29,0.0895,11,0.034,19,0.0586,24,0.0741,0,0,3,0.0093,1,0.0031,7,0.0216,245,586,545,26,0.1061,1,0.0041,29,0.1184,12,0.049,9,0.0367,18,0.0735,0,0,1,0.0041,0,0,4,0.0163,233,471,568,64,0.2747,2,0.0086,59,0.2532,35,0.1502,27,0.1159,51,0.2189,1,0.0043,4,0.0172,2,0.0086,20,0.0858
192,493,1148,43,0.0872,1,0.002,65,0.1318,25,0.0507,19,0.0385,20,0.0406,0,0,1,0.002,0,0,8,0.0162,473,1088,775,36,0.0761,4,0.0085,73,0.1543,24,0.0507,8,0.0169,17,0.0359,1,0.0021,1,0.0021,1,0.0021,9,0.019,286,665,644,32,0.1119,0,0,39,0.1364,21,0.0734,11,0.0385,17,0.0594,0,0,1,0.0035,0,0,4,0.014
193,840,2475,79,0.094,4,0.0048,88,0.1048,20,0.0238,52,0.0619,25,0.0298,3,0.0036,3,0.0036,0,0,18,0.0214,784,2257,778,63,0.0804,2,0.0026,68,0.0867,33,0.0421,46,0.0587,18,0.023,0,0,1,0.0013,0,0,8,0.0102,570,1494,1061,50,0.0877,0,0,98,0.1719,30,0.0526,24,0.0421,24,0.0421,0,0,0,0,0,0,23,0.0404
194,431,998,62,0.1439,2,0.0046,67,0.1555,23,0.0534,14,0.0325,42,0.0974,0,0,0,0,2,0.0046,10,0.0232,361,825,544,66,0.1828,1,0.0028,50,0.1385,13,0.036,11,0.0305,40,0.1108,0,0,3,0.0083,1,0.0028,9,0.0249,739,2170,964,72,0.0974,5,0.0068,91,0.1231,41,0.0555,50,0.0677,20,0.0271,2,0.0027,2,0.0027,1,0.0014,15,0.0203
195,352,690,73,0.2074,9,0.0256,63,0.179,40,0.1136,42,0.1193,38,0.108,4,0.0114,4,0.0114,5,0.0142,14,0.0398,335,719,714,78,0.2328,9,0.0269,75,0.2239,49,0.1463,44,0.1313,40,0.1194,3,0.009,2,0.006,5,0.0149,19,0.0567,377,944,722,64,0.1698,2,0.0053,66,0.1751,25,0.0663,23,0.061,41,0.1088,0,0,5,0.0133,2,0.0053,12,0.0318
196,998,2359,127,0.1273,4,0.004,109,0.1092,51,0.0511,65,0.0651,57,0.0571,2,0.002,14,0.014,1,0.001,31,0.0311,891,2154,1175,93,0.1044,2,0.0022,110,0.1235,53,0.0595,56,0.0629,43,0.0483,2,0.0022,13,0.0146,4,0.0045,23,0.0258,405,920,918,94,0.2321,12,0.0296,90,0.2222,59,0.1457,42,0.1037,59,0.1457,9,0.0222,4,0.0099,11,0.0272,20,0.0494
197,461,1127,42,0.0911,0,0,73,0.1584,15,0.0325,21,0.0456,25,0.0542,0,0,0,0,1,0.0022,14,0.0304,378,1003,499,52,0.1376,0,0,56,0.1481,15,0.0397,20,0.0529,34,0.0899,0,0,2,0.0053,0,0,9,0.0238,983,2400,1406,122,0.1241,1,0.001,115,0.117,68,0.0692,76,0.0773,51,0.0519,0,0,15,0.0153,16,0.0163,33,0.0336
198,223,361,35,0.157,3,0.0135,44,0.1973,26,0.1166,12,0.0538,11,0.0493,2,0.009,0,0,0,0,6,0.0269,189,341,471,33,0.1746,1,0.0053,39,0.2063,15,0.0794,2,0.0106,14,0.0741,0,0,0,0,0,0,5,0.0265,429,1045,477,36,0.0839,0,0,64,0.1492,26,0.0606,16,0.0373,19,0.0443,0,0,1,0.0023,0,0,10,0.0233
199,521,987,79,0.1516,14,0.0269,130,0.2495,26,0.0499,35,0.0672,34,0.0653,8,0.0154,2,0.0038,2,0.0038,14,0.0269,463,948,1309,56,0.121,6,0.013,123,0.2657,23,0.0497,39,0.0842,30,0.0648,4,0.0086,7,0.0151,2,0.0043,15,0.0324,199,295,455,28,0.1407,0,0,34,0.1709,20,0.1005,12,0.0603,18,0.0905,0,0,0,0,0,0,1,0.005
200,436,805,50,0.1147,1,0.0023,74,0.1697,20,0.0459,14,0.0321,20,0.0459,1,0.0023,0,0,1,0.0023,10,0.0229,351,662,486,42,0.1197,0,0,59,0.1681,13,0.037,17,0.0484,21,0.0598,0,0,1,0.0028,0,0,4,0.0114,494,1033,1380,62,0.1255,11,0.0223,124,0.251,18,0.0364,50,0.1012,25,0.0506,8,0.0162,3,0.0061,1,0.002,12,0.0243
201,209,382,41,0.1962,7,0.0335,22,0.1053,13,0.0622,4,0.0191,31,0.1483,1,0.0048,0,0,0,0,2,0.0096,159,299,165,24,0.1509,2,0.0126,13,0.0818,1,0.0063,7,0.044,15,0.0943,1,0.0063,1,0.0063,0,0,3,0.0189,375,674,508,53,0.1413,0,0,66,0.176,14,0.0373,22,0.0587,23,0.0613,0,0,2,0.0053,1,0.0027,10,0.0267
202,195,507,13,0.0667,1,0.0051,31,0.159,14,0.0718,27,0.1385,7,0.0359,0,0,0,0,0,0,6,0.0308,188,422,189,21,0.1117,0,0,36,0.1915,10,0.0532,20,0.1064,9,0.0479,0,0,0,0,0,0,7,0.0372,181,369,214,26,0.1436,0,0,29,0.1602,5,0.0276,14,0.0773,16,0.0884,0,0,0,0,0,0,3,0.0166
203,222,372,37,0.1667,3,0.0135,43,0.1937,18,0.0811,12,0.0541,13,0.0586,0,0,0,0,0,0,10,0.045,227,425,408,38,0.1674,1,0.0044,53,0.2335,24,0.1057,8,0.0352,16,0.0705,0,0,0,0,2,0.0088,18,0.0793,189,439,235,25,0.1323,1,0.0053,43,0.2275,10,0.0529,25,0.1323,12,0.0635,1,0.0053,1,0.0053,0,0,15,0.0794
204,336,812,36,0.1071,2,0.006,57,0.1696,7,0.0208,13,0.0387,19,0.0565,0,0,0,0,0,0,10,0.0298,288,730,231,41,0.1424,2,0.0069,44,0.1528,9,0.0313,7,0.0243,18,0.0625,0,0,1,0.0035,0,0,10,0.0347,221,402,426,37,0.1674,1,0.0045,48,0.2172,29,0.1312,12,0.0543,10,0.0452,0,0,2,0.009,3,0.0136,16,0.0724
205,862,2417,105,0.1218,8,0.0093,119,0.1381,54,0.0626,48,0.0557,53,0.0615,5,0.0058,3,0.0035,3,0.0035,19,0.022,841,2368,1271,102,0.1213,9,0.0107,119,0.1415,59,0.0702,40,0.0476,42,0.0499,4,0.0048,6,0.0071,1,0.0012,34,0.0404,341,782,295,34,0.0997,1,0.0029,49,0.1437,25,0.0733,20,0.0587,16,0.0469,0,0,1,0.0029,1,0.0029,14,0.0411
206,1264,2928,96,0.0759,6,0.0047,51,0.0403,31,0.0245,27,0.0214,54,0.0427,5,0.004,3,0.0024,4,0.0032,20,0.0158,1097,2599,703,105,0.0957,12,0.0109,52,0.0474,33,0.0301,33,0.0301,56,0.051,5,0.0046,5,0.0046,3,0.0027,13,0.0119,835,2579,1541,102,0.1222,3,0.0036,134,0.1605,54,0.0647,66,0.079,40,0.0479,2,0.0024,6,0.0072,3,0.0036,27,0.0323
207,883,1994,203,0.2299,15,0.017,135,0.1529,81,0.0917,42,0.0476,91,0.1031,4,0.0045,4,0.0045,2,0.0023,24,0.0272,560,1436,1372,96,0.1714,5,0.0089,128,0.2286,71,0.1268,32,0.0571,58,0.1036,3,0.0054,2,0.0036,3,0.0054,33,0.0589,1235,2953,860,118,0.0955,4,0.0032,69,0.0559,50,0.0405,42,0.034,58,0.047,3,0.0024,9,0.0073,2,0.0016,13,0.0105
208,333,675,52,0.1562,12,0.036,37,0.1111,22,0.0661,31,0.0931,34,0.1021,5,0.015,1,0.003,0,0,21,0.0631,291,632,689,39,0.134,6,0.0206,36,0.1237,29,0.0997,30,0.1031,24,0.0825,5,0.0172,2,0.0069,1,0.0034,21,0.0722,583,1417,1405,112,0.1921,3,0.0051,139,0.2384,108,0.1852,56,0.0961,57,0.0978,0,0,3,0.0051,3,0.0051,17,0.0292
209,1167,2321,230,0.1971,11,0.0094,67,0.0574,27,0.0231,47,0.0403,74,0.0634,4,0.0034,2,0.0017,1,0.0009,13,0.0111,942,1918,1393,162,0.172,6,0.0064,72,0.0764,36,0.0382,38,0.0403,63,0.0669,4,0.0042,4,0.0042,1,0.0011,12,0.0127,325,700,846,58,0.1785,12,0.0369,42,0.1292,24,0.0738,49,0.1508,34,0.1046,10,0.0308,6,0.0185,3,0.0092,23,0.0708
210,936,2711,110,0.1175,7,0.0075,92,0.0983,47,0.0502,46,0.0491,36,0.0385,0,0,5,0.0053,1,0.0011,20,0.0214,923,2734,1679,115,0.1246,8,0.0087,81,0.0878,57,0.0618,45,0.0488,47,0.0509,0,0,3,0.0033,3,0.0033,12,0.013,1055,2170,1495,193,0.1829,5,0.0047,60,0.0569,32,0.0303,41,0.0389,57,0.054,3,0.0028,0,0,0,0,11,0.0104
211,589,1328,75,0.1273,3,0.0051,45,0.0764,0,0,32,0.0543,28,0.0475,0,0,0,0,0,0,0,0,588,1325,1425,71,0.1207,1,0.0017,62,0.1054,24,0.0408,35,0.0595,28,0.0476,0,0,3,0.0051,2,0.0034,7,0.0119,971,2835,1794,89,0.0917,4,0.0041,107,0.1102,68,0.07,52,0.0536,40,0.0412,0,0,5,0.0051,6,0.0062,27,0.0278
212,828,2281,135,0.163,8,0.0097,76,0.0918,43,0.0519,42,0.0507,59,0.0713,6,0.0072,6,0.0072,4,0.0048,3,0.0036,724,2089,670,106,0.1464,1,0.0014,64,0.0884,41,0.0566,41,0.0566,47,0.0649,0,0,3,0.0041,3,0.0041,3,0.0041,642,1542,1669,64,0.0997,3,0.0047,84,0.1308,44,0.0685,46,0.0717,24,0.0374,2,0.0031,9,0.014,0,0,10,0.0156
213,926,3488,82,0.0886,4,0.0043,88,0.095,41,0.0443,26,0.0281,37,0.04,1,0.0011,5,0.0054,4,0.0043,16,0.0173,745,3028,1338,67,0.0899,10,0.0134,73,0.098,26,0.0349,29,0.0389,26,0.0349,2,0.0027,6,0.0081,4,0.0054,12,0.0161,760,2098,784,137,0.1803,3,0.0039,70,0.0921,42,0.0553,68,0.0895,61,0.0803,1,0.0013,9,0.0118,0,0,5,0.0066
214,496,1216,45,0.0907,4,0.0081,49,0.0988,29,0.0585,21,0.0423,20,0.0403,1,0.002,0,0,8,0.0161,4,0.0081,478,1056,539,48,0.1004,2,0.0042,69,0.1444,19,0.0397,32,0.0669,23,0.0481,0,0,4,0.0084,1,0.0021,9,0.0188,772,3131,1251,63,0.0816,8,0.0104,79,0.1023,40,0.0518,35,0.0453,31,0.0402,2,0.0026,6,0.0078,3,0.0039,22,0.0285
215,324,872,57,0.1759,4,0.0123,48,0.1481,21,0.0648,22,0.0679,28,0.0864,0,0,0,0,2,0.0062,7,0.0216,290,759,374,40,0.1379,0,0,44,0.1517,22,0.0759,18,0.0621,24,0.0828,0,0,2,0.0069,5,0.0172,14,0.0483,452,999,461,47,0.104,0,0,67,0.1482,29,0.0642,25,0.0553,20,0.0442,0,0,1,0.0022,1,0.0022,12,0.0265
216,799,1656,54,0.0676,5,0.0063,45,0.0563,13,0.0163,27,0.0338,30,0.0375,3,0.0038,0,0,0,0,7,0.0088,1358,2649,616,60,0.0442,1,0.0007,61,0.0449,23,0.0169,16,0.0118,30,0.0221,1,0.0007,1,0.0007,3,0.0022,16,0.0118,1133,1915,359,23,0.0203,0,0,58,0.0512,24,0.0212,23,0.0203,9,0.0079,0,0,1,0.0009,2,0.0018,8,0.0071
217,811,2353,88,0.1085,2,0.0025,82,0.1011,35,0.0432,32,0.0395,46,0.0567,1,0.0012,0,0,0,0,19,0.0234,652,1731,613,73,0.112,1,0.0015,69,0.1058,33,0.0506,25,0.0383,29,0.0445,0,0,1,0.0015,0,0,12,0.0184,1376,2377,459,45,0.0327,1,0.0007,49,0.0356,21,0.0153,17,0.0124,16,0.0116,1,0.0007,1,0.0007,5,0.0036,9,0.0065
218,847,2562,69,0.0815,1,0.0012,89,0.1051,59,0.0697,42,0.0496,33,0.039,0,0,2,0.0024,6,0.0071,26,0.0307,765,2338,873,70,0.0915,3,0.0039,86,0.1124,49,0.0641,41,0.0536,35,0.0458,1,0.0013,5,0.0065,2,0.0026,22,0.0288,652,1694,629,72,0.1104,1,0.0015,58,0.089,36,0.0552,27,0.0414,30,0.046,0,0,1,0.0015,0,0,10,0.0153
219,571,1398,50,0.0876,6,0.0105,68,0.1191,20,0.035,22,0.0385,19,0.0333,3,0.0053,0,0,0,0,9,0.0158,535,1295,660,45,0.0841,7,0.0131,72,0.1346,26,0.0486,23,0.043,20,0.0374,4,0.0075,0,0,1,0.0019,5,0.0093,810,2465,884,65,0.0802,3,0.0037,91,0.1123,47,0.058,60,0.0741,34,0.042,2,0.0025,5,0.0062,2,0.0025,31,0.0383
220,1334,4593,217,0.1627,24,0.018,162,0.1214,60,0.045,50,0.0375,87,0.0652,8,0.006,9,0.0067,1,0.0007,26,0.0195,1055,3344,1060,153,0.145,14,0.0133,137,0.1299,55,0.0521,44,0.0417,53,0.0502,3,0.0028,4,0.0038,4,0.0038,23,0.0218,519,1166,703,49,0.0944,2,0.0039,68,0.131,31,0.0597,19,0.0366,11,0.0212,0,0,0,0,1,0.0019,7,0.0135
221,505,943,86,0.1703,7,0.0139,58,0.1149,33,0.0653,17,0.0337,29,0.0574,3,0.0059,0,0,0,0,0,0,567,1078,1584,95,0.1675,5,0.0088,71,0.1252,39,0.0688,30,0.0529,27,0.0476,0,0,0,0,1,0.0018,1,0.0018,191,591,825,65,0.3403,0,0,27,0.1414,18,0.0942,57,0.2984,52,0.2723,0,0,14,0.0733,6,0.0314,6,0.0314
222,1597,4739,308,0.1929,58,0.0363,256,0.1603,99,0.062,73,0.0457,101,0.0632,26,0.0163,3,0.0019,6,0.0038,49,0.0307,1471,4662,4833,331,0.225,42,0.0286,240,0.1632,85,0.0578,72,0.0489,109,0.0741,22,0.015,4,0.0027,6,0.0041,42,0.0286,1089,3519,1211,147,0.135,11,0.0101,145,0.1331,61,0.056,52,0.0478,51,0.0468,1,0.0009,7,0.0064,2,0.0018,22,0.0202
223,771,2365,114,0.1479,7,0.0091,73,0.0947,10,0.013,34,0.0441,44,0.0571,2,0.0026,5,0.0065,2,0.0026,14,0.0182,806,2324,1406,104,0.129,5,0.0062,69,0.0856,16,0.0199,35,0.0434,34,0.0422,2,0.0025,1,0.0012,1,0.0012,11,0.0136,612,1190,1807,98,0.1601,2,0.0033,93,0.152,54,0.0882,40,0.0654,45,0.0735,1,0.0016,0,0,0,0,0,0
224,1277,3482,140,0.1096,15,0.0117,110,0.0861,58,0.0454,64,0.0501,60,0.047,0,0,0,0,0,0,0,0,1140,2912,1044,120,0.1053,5,0.0044,94,0.0825,64,0.0561,41,0.036,57,0.05,0,0,0,0,0,0,0,0,1537,4912,5097,291,0.1893,24,0.0156,246,0.1601,94,0.0612,86,0.056,95,0.0618,11,0.0072,1,0.0007,10,0.0065,40,0.026
225,690,1858,71,0.1029,18,0.0261,77,0.1116,30,0.0435,27,0.0391,33,0.0478,0,0,3,0.0043,2,0.0029,17,0.0246,597,1723,919,75,0.1256,15,0.0251,65,0.1089,29,0.0486,35,0.0586,41,0.0687,0,0,1,0.0017,0,0,13,0.0218,830,2475,1624,124,0.1494,0,0,70,0.0843,35,0.0422,37,0.0446,46,0.0554,0,0,10,0.012,4,0.0048,16,0.0193
226,601,1609,72,0.1198,8,0.0133,46,0.0765,29,0.0483,18,0.03,33,0.0549,3,0.005,4,0.0067,6,0.01,14,0.0233,667,1949,677,56,0.084,1,0.0015,70,0.1049,34,0.051,28,0.042,26,0.039,0,0,7,0.0105,6,0.009,28,0.042,1199,3175,1227,127,0.1059,7,0.0058,90,0.0751,69,0.0575,64,0.0534,62,0.0517,2,0.0017,1,0.0008,4,0.0033,13,0.0108
227,1635,4307,161,0.0985,26,0.0159,221,0.1352,59,0.0361,38,0.0232,92,0.0563,16,0.0098,8,0.0049,5,0.0031,84,0.0514,1478,3649,2179,138,0.0934,10,0.0068,200,0.1353,61,0.0413,47,0.0318,69,0.0467,0,0,5,0.0034,3,0.002,74,0.0501,619,1739,938,70,0.1131,8,0.0129,60,0.0969,47,0.0759,43,0.0695,36,0.0582,0,0,1,0.0016,0,0,11,0.0178
228,281,576,50,0.1779,1,0.0036,45,0.1601,19,0.0676,12,0.0427,32,0.1139,0,0,0,0,0,0,14,0.0498,218,487,503,32,0.1468,0,0,44,0.2018,28,0.1284,18,0.0826,22,0.1009,0,0,0,0,0,0,13,0.0596,736,2299,814,76,0.1033,1,0.0014,85,0.1155,53,0.072,24,0.0326,37,0.0503,0,0,6,0.0082,10,0.0136,26,0.0353
229,668,1926,100,0.1497,11,0.0165,60,0.0898,34,0.0509,29,0.0434,47,0.0704,0,0,1,0.0015,2,0.003,10,0.015,668,1981,1196,95,0.1422,4,0.006,60,0.0898,44,0.0659,35,0.0524,41,0.0614,2,0.003,8,0.012,0,0,18,0.0269,1600,3976,2177,133,0.0831,5,0.0031,250,0.1563,65,0.0406,49,0.0306,62,0.0388,3,0.0019,1,0.0006,11,0.0069,70,0.0438
230,184,432,34,0.1848,5,0.0272,38,0.2065,21,0.1141,33,0.1793,18,0.0978,3,0.0163,10,0.0543,0,0,16,0.087,157,402,440,40,0.2548,1,0.0064,34,0.2166,15,0.0955,22,0.1401,30,0.1911,1,0.0064,3,0.0191,0,0,18,0.1146,252,570,570,30,0.119,4,0.0159,48,0.1905,22,0.0873,12,0.0476,14,0.0556,1,0.004,0,0,0,0,16,0.0635
231,587,1670,50,0.0852,9,0.0153,95,0.1618,42,0.0716,27,0.046,26,0.0443,4,0.0068,6,0.0102,6,0.0102,33,0.0562,619,1601,492,40,0.0646,5,0.0081,77,0.1244,22,0.0355,19,0.0307,19,0.0307,3,0.0048,5,0.0081,3,0.0048,18,0.0291,767,2060,1415,94,0.1226,11,0.0143,86,0.1121,65,0.0847,61,0.0795,33,0.043,5,0.0065,7,0.0091,2,0.0026,25,0.0326
232,759,1791,82,0.108,4,0.0053,83,0.1094,28,0.0369,22,0.029,29,0.0382,1,0.0013,3,0.004,1,0.0013,10,0.0132,694,1693,1130,93,0.134,6,0.0086,88,0.1268,34,0.049,21,0.0303,35,0.0504,2,0.0029,3,0.0043,2,0.0029,15,0.0216,171,402,409,32,0.1871,0,0,43,0.2515,28,0.1637,28,0.1637,22,0.1287,0,0,5,0.0292,0,0,28,0.1637
233,443,1090,88,0.1986,4,0.009,58,0.1309,27,0.0609,26,0.0587,43,0.0971,1,0.0023,6,0.0135,0,0,26,0.0587,410,936,564,65,0.1585,4,0.0098,57,0.139,33,0.0805,15,0.0366,23,0.0561,4,0.0098,3,0.0073,3,0.0073,15,0.0366,738,2112,625,50,0.0678,2,0.0027,87,0.1179,35,0.0474,18,0.0244,13,0.0176,0,0,1,0.0014,9,0.0122,29,0.0393
234,351,968,45,0.1282,12,0.0342,75,0.2137,14,0.0399,64,0.1823,21,0.0598,5,0.0142,15,0.0427,1,0.0028,21,0.0598,280,838,1280,63,0.225,8,0.0286,80,0.2857,20,0.0714,70,0.25,31,0.1107,1,0.0036,12,0.0429,2,0.0071,19,0.0679,703,1590,1150,81,0.1152,3,0.0043,74,0.1053,51,0.0725,29,0.0413,36,0.0512,1,0.0014,2,0.0028,2,0.0028,13,0.0185
